Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Italy,Office Supplies,Offline,High,2020-06-01,458130,2020-06-16,396,263.33,235.24,104278.68,93155.04,11123.64
Africa,Nigeria,Clothing,Online,High,2021-01-31,945466,2021-02-15,9,450.25,281.09,4052.25,2529.81,1522.44
Asia,China,Electronics,Offline,High,2023-03-01,678637,2023-03-16,386,258.13,167.7,99638.18,64732.2,34905.98
Europe,Germany,Furniture,Offline,High,2023-12-17,672042,2023-12-21,464,132.98,94.94,61702.72,44052.16,17650.56
Africa,Nigeria,Food,Online,Medium,2023-06-02,865467,2023-06-19,488,162.03,136.19,79070.64,66460.72,12609.92
Europe,France,Electronics,Offline,Low,2020-11-01,923340,2020-11-14,424,459.7,287.57,194912.8,121929.68,72983.12
Europe,France,Clothing,Online,High,2021-08-31,984841,2021-09-02,278,80.8,64.17,22462.4,17839.26,4623.14
Asia,Indonesia,Furniture,Online,Medium,2022-05-29,462494,2022-05-31,143,478.1,260.1,68368.3,37194.3,31174.0
North America,Mexico,Beverages,Online,Medium,2023-12-16,805676,2023-12-26,436,402.54,287.26,175507.44,125245.36,50262.08
Africa,Nigeria,Clothing,Offline,Critical,2023-01-31,553646,2023-02-09,308,163.56,105.41,50376.48,32466.28,17910.2
South America,Colombia,Food,Online,High,2020-05-30,973397,2020-06-02,97,369.77,252.68,35867.69,24509.96,11357.73
North America,Canada,Food,Online,Critical,2023-08-20,365518,2023-08-30,75,162.63,125.2,12197.25,9390.0,2807.25
Africa,Egypt,Food,Online,Critical,2020-11-28,939509,2020-12-17,370,458.78,291.67,169748.6,107917.9,61830.7
Asia,Japan,Electronics,Offline,Medium,2023-03-23,972324,2023-04-10,415,351.88,235.68,146030.2,97807.2,48223.0
Australia,New Zealand,Food,Online,Critical,2020-10-25,274979,2020-11-10,373,201.09,153.16,75006.57,57128.68,17877.89
Europe,Germany,Clothing,Offline,High,2021-02-22,520369,2021-03-02,394,220.89,153.31,87030.66,60404.14,26626.52
South America,Colombia,Furniture,Online,Low,2023-10-23,256393,2023-10-31,432,268.69,184.68,116074.08,79781.76,36292.32
North America,Canada,Electronics,Offline,Medium,2022-09-10,703207,2022-09-20,398,357.7,207.58,142364.6,82616.84,59747.76
North America,Canada,Clothing,Online,Medium,2021-11-11,589510,2021-11-28,208,190.25,155.1,39572.0,32260.8,7311.2
South America,Brazil,Clothing,Online,Low,2023-12-04,426405,2023-12-13,460,357.15,282.73,164289.0,130055.8,34233.2
Asia,South Korea,Furniture,Online,Critical,2021-04-01,847475,2021-04-04,210,146.58,128.17,30781.8,26915.7,3866.1
Asia,South Korea,Clothing,Offline,Medium,2023-10-30,350792,2023-11-15,405,260.54,196.93,105518.7,79756.65,25762.05
